"dose_log","pE_cond","pT","neutral","success","toxicity","scenario","dgp"
-0.23,0.80348977595651,0.140975660665205,0.168807065381491,0.690217273953303,0.140975660665205,"D","Base case: logit/logit"
0.92,0.825202406284879,0.402235289778733,0.104487832954494,0.493276877266773,0.402235289778733,"D","Base case: logit/logit"
2.02,0.84415839369459,0.721826543056909,0.0433509983615403,0.234822458581551,0.721826543056909,"D","Base case: logit/logit"
3,0.859603418668301,0.896228124618355,0.0145692165419621,0.089202658839683,0.896228124618355,"D","Base case: logit/logit"
3.69,0.86969333194108,0.952692800115866,0.00616444359209887,0.0411427562920353,0.952692800115866,"D","Base case: logit/logit"
4.38,0.879160047846198,0.979148552505242,0.00251968791760403,0.0183317595771537,0.979148552505242,"D","Base case: logit/logit"
5.08,0.888151792102262,0.991059295700843,0.00100000175320431,0.00794070254595264,0.991059295700843,"D","Base case: logit/logit"
5.77,0.896437195505519,0.996146029702615,0.000399127972435619,0.00345484232494937,0.996146029702615,"D","Base case: logit/logit"
-1.2,0.569774465181456,1.60739113637926e-12,0.430225534817853,0.56977446518054,1.60739113637926e-12,"A","Misspecification 1: probit/probit"
-0.23,0.765718767777029,9.98812605676515e-10,0.234281231988968,0.765718767012219,9.98812605676515e-10,"A","Misspecification 1: probit/probit"
0.92,0.915545831242014,6.23562004936102e-07,0.0844541160955755,0.91554526034242,6.23562004936102e-07,"A","Misspecification 1: probit/probit"
2.02,0.977159010715936,8.91251271839605e-05,0.0228389535779888,0.977071921294827,8.91251271839605e-05,"A","Misspecification 1: probit/probit"
3,0.994660025188158,0.00282007278348805,0.00532491569421084,0.991855011522301,0.00282007278348805,"A","Misspecification 1: probit/probit"
3.69,0.998377590555525,0.0188546795730445,0.00159181943426271,0.979553500992693,0.0188546795730445,"A","Misspecification 1: probit/probit"
4.38,0.999572089803139,0.0825685225567034,0.000392578284119293,0.917038899159177,0.0825685225567034,"A","Misspecification 1: probit/probit"
5.08,0.999904366453952,0.245726390684045,7.21338599493266e-05,0.754201475456005,0.245726390684045,"A","Misspecification 1: probit/probit"
5.77,0.999981123684896,0.50079788402888,9.42309644159871e-06,0.499192692874678,0.50079788402888,"A","Misspecification 1: probit/probit"
-1.2,0.0845037344950288,1.88738118423178e-44,0.915496265504971,0.0845037344950288,1.88738118423178e-44,"B","Misspecification 1: probit/probit"
-0.23,0.914154430943205,1.84204660678229e-33,0.0858455690567952,0.914154430943205,1.84204660678229e-33,"B","Misspecification 1: probit/probit"
0.92,0.999998061224821,1.55246919398538e-22,1.93877517895569e-06,0.999998061224821,1.55246919398538e-22,"B","Misspecification 1: probit/probit"
2.02,0.999999999999995,3.26474895736302e-14,5.44009282066309e-15,0.999999999999962,3.26474895736302e-14,"B","Misspecification 1: probit/probit"
3,1,1.53848275790215e-08,0,0.999999984615172,1.53848275790215e-08,"B","Misspecification 1: probit/probit"
3.69,1,1.61226995335624e-05,0,0.999983877300466,1.61226995335624e-05,"B","Misspecification 1: probit/probit"
4.38,1,0.0027431589487639,0,0.997256841051236,0.0027431589487639,"B","Misspecification 1: probit/probit"
5.08,1,0.0842561239199145,0,0.915743876080085,0.0842561239199145,"B","Misspecification 1: probit/probit"
5.77,1,0.501196825045966,0,0.498803174954034,0.501196825045966,"B","Misspecification 1: probit/probit"
-1.2,5.09845202796851e-07,1.17288851146534e-211,0.999999490154797,5.09845202796851e-07,1.17288851146534e-211,"C","Misspecification 1: probit/probit"
